curso_academico,poblacion,des_provincia_centro_sec,nota_media,nota_minima,nota_maxima,percentil_25,percentil_50,percentil_75
2017-18,Muy densa,Lérida,,,,,,
2017-18,Muy densa,Teruel,,,,,,
2017-18,Muy densa,Gerona,,,,,,
2017-18,Muy densa,Global,9.414557998289137,5.009,13.925,7.82,9.403500000000001,10.983
2017-18,Densa,Córdoba,10.974534246575342,5.85,13.715,9.746,11.414,12.636
2017-18,Densa,Madrid,9.246306037184041,5.0,13.85,7.7219999999999995,9.199,10.768
2017-18,Densa,Salamanca,9.695400000000001,5.534,13.88,7.41,9.932,12.124500000000001
2017-18,Densa,Zaragoza,,,,,,
2017-18,Densa,Burgos,10.713019607843139,5.82,13.746,10.023,10.98,11.916
2017-18,Densa,Toledo,,,,,,
2017-18,Densa,León,10.699430379746836,5.15,13.671,9.68,11.185,12.3015
2017-18,Densa,Cádiz,11.141566666666668,5.63,13.845,9.8265,11.3875,12.815
2017-18,Densa,Las Palmas,11.148443396226414,5.619,13.985,9.776,11.418,12.797
2017-18,Densa,Guadalajara,,,,,,
2017-18,Densa,Baleares,10.042783505154638,5.968,13.6,8.652,10.15,11.134
2017-18,Densa,Ciudad Real,,,,,,
2017-18,Densa,Pontevedra,10.079600000000001,5.82,13.33,8.8935,10.241,11.3205
2017-18,Densa,Álava,10.613159090909091,6.86,13.262,9.388750000000002,10.81,11.567
2017-18,Densa,Segovia,,,,,,
2017-18,Densa,Albacete,11.562831775700934,5.46,13.664,10.5005,12.175,13.05
2017-18,Densa,Santa Cruz de Tenerife,11.358794285714286,6.003,13.925,10.4785,11.695,12.7965
2017-18,Densa,Murcia,10.982260563380281,5.284,13.815,9.30175,11.541,12.69625
2017-18,Densa,Valladolid,9.799931818181818,5.0,13.524,7.92075,10.0795,11.34675
2017-18,Densa,Cantabria,10.792472527472528,5.347,13.464,9.843,11.209,12.311499999999999
2017-18,Densa,La Rioja,10.509735632183908,5.5,13.314,9.254,10.527,11.8205
2017-18,Densa,Huelva,11.1685,6.287,13.755,9.77725,11.565,12.815
2017-18,Densa,Ávila,,,,,,
2017-18,Densa,Gipuzkoa,9.85339393939394,5.99,13.262,8.153500000000001,10.004999999999999,11.709
2017-18,Densa,Málaga,11.01515,5.871,13.455,10.238,11.2315,12.231
2017-18,Densa,Cáceres,,,,,,
2017-18,Densa,Soria,,,,,,
2017-18,Densa,Jaén,11.060083333333333,6.3,13.59,9.9415,11.2675,12.4975
2017-18,Densa,Huesca,,,,,,
2017-18,Densa,Castellón,10.365833333333335,6.7,13.44,9.3455,10.286999999999999,11.2325
2017-18,Densa,Alicante,11.035556818181819,5.18,13.828,9.809999999999999,11.413,12.477
2017-18,Densa,Ceuta,,,,,,
2017-18,Densa,Palencia,,,,,,
2017-18,Densa,Badajoz,10.700772727272728,6.1,13.716,9.3035,10.7025,12.072000000000001
2017-18,Densa,Asturias,9.467444444444444,5.158,12.307,8.8,10.764,10.982
2017-18,Densa,Orense,11.159302325581395,5.0,13.62,10.065999999999999,11.03,12.878
2017-18,Densa,Granada,10.976546666666666,5.727,13.563,9.975999999999999,11.198,12.503
2017-18,Densa,Lugo,,,,,,
2017-18,Densa,Bizkaia,10.44308695652174,7.15,13.114,8.815999999999999,10.96,12.109
2017-18,Densa,Almería,11.23501724137931,6.779,13.75,10.24125,11.78,12.646
2017-18,Densa,Valencia,,,,,,
2017-18,Densa,Melilla,,,,,,
2017-18,Densa,Cuenca,,,,,,
2017-18,Densa,La Coruña,10.707122807017544,5.484,13.74,9.21775,10.86,12.424
2017-18,Densa,Navarra,10.156513513513513,5.778,13.478,8.7995,10.451,11.611
2017-18,Densa,Sevilla,12.372142857142858,10.1,13.34,12.2925,12.665,12.9575
2017-18,Densa,Barcelona,8.852857142857143,6.53,10.266,7.674,9.658,10.084
2017-18,Densa,Tarragona,9.394333333333334,5.1,11.87,7.94,9.674,10.943999999999999
2017-18,Densa,Zamora,,,,,,
2017-18,Densa,Lérida,11.3224,8.03,12.546,11.97,11.98,12.086
2017-18,Densa,Teruel,,,,,,
2017-18,Densa,Gerona,,,,,,
2017-18,Densa,Global,9.752718407546123,5.0,13.985,8.126,9.8,11.39
2017-18,Poco densa,Córdoba,11.080645833333334,5.548,13.76,10.19,11.4375,12.8525
2017-18,Poco densa,Madrid,9.261571951219512,5.018,13.592,7.7545,9.3125,10.7475
2017-18,Poco densa,Salamanca,10.70445,6.257,13.474,9.10375,10.692,12.63825
2017-18,Poco densa,Zaragoza,10.410864864864864,7.022,13.567,9.2,10.084,11.725
2017-18,Poco densa,Burgos,8.904250000000001,7.233,9.922,8.326500000000001,9.231000000000002,9.80875
