universidad,curso_academico,poblacion,count,Total,total_todos,porcentaje_todos
urjc,2022-23,Poco densa,5278,7510303,10873583,0.00048539657994977367
uva,2017-18,Densa,8348,9989247,10984725,0.0007599644051171058
uva,2017-18,Moderadamente densa,4739,8068810,11473726,0.000413030605750913
uva,2017-18,Muy densa,297,7514972,7514972,3.952110533479034e-05
uva,2017-18,Muy poco densa,3730,1114211,5745500,0.0006492037246540771
uva,2017-18,Poco densa,3928,4357171,10853209,0.00036192060799713707
uva,2018-19,Densa,8230,10478255,11126817,0.0007396544762082453
uva,2018-19,Moderadamente densa,4654,7930704,11529380,0.0004036643774426725
uva,2018-19,Muy densa,277,7561707,7561707,3.663194038065743e-05
uva,2018-19,Muy poco densa,3674,1143355,5710686,0.0006433552816596815
uva,2018-19,Poco densa,4099,4361786,10794390,0.00037973428790325344
uva,2019-20,Densa,8155,9940985,11196460,0.0007283552122724504
uva,2019-20,Moderadamente densa,4483,8269046,11694079,0.0003833563977120387
uva,2019-20,Muy densa,314,7635419,7635419,4.112413477243358e-05
uva,2019-20,Muy poco densa,3552,1129468,5699628,0.0006231985666432967
uva,2019-20,Poco densa,4257,4364605,10800622,0.00039414396689375854
uva,2020-21,Densa,8121,9979245,11288818,0.0007193844386542506
uva,2020-21,Moderadamente densa,4303,7907420,11896408,0.00036170581910102614
uva,2020-21,Muy densa,344,7750859,7750859,4.438217751090557e-05
uva,2020-21,Muy poco densa,3685,1177919,5690617,0.0006475571981034746
uva,2020-21,Poco densa,4487,4288800,10824093,0.00041453819733440944
uva,2021-22,Densa,8173,10010764,11216339,0.0007286691317015294
uva,2021-22,Moderadamente densa,4362,8266531,11921999,0.0003658782390436369
uva,2021-22,Muy densa,327,7668824,7668824,4.264017533848736e-05
uva,2021-22,Muy poco densa,3764,1173225,5687092,0.0006618496764251396
uva,2021-22,Poco densa,4656,4427948,10890853,0.00042751472267599244
uva,2022-23,Densa,8025,10720830,11298873,0.0007102478273718095
uva,2022-23,Moderadamente densa,4187,8161846,11956985,0.0003501718869765246
uva,2022-23,Muy densa,356,7643551,7643551,4.6575210919636696e-05
uva,2022-23,Muy poco densa,3729,1179709,5702428,0.0006539319742397449
uva,2022-23,Poco densa,4782,4416315,10873583,0.000439781440947294
