curso_academico,des_provincia_centro_sec,nota_media
2019-20,Teruel,10.777166666666666
2019-20,Toledo,10.184404641775984
2019-20,Valencia,9.754239316239318
2019-20,Valladolid,8.999138962765958
2019-20,Bizkaia,9.717310344827586
2019-20,Zamora,9.158894117647058
2019-20,Zaragoza,10.424756906077349
2019-20,Álava,9.756439024390245
2019-20,Ávila,9.645478021978022
2020-21,La Coruña,11.239670588235294
2020-21,Albacete,11.285666666666668
2020-21,Alicante,10.855856249999999
2020-21,Almería,11.914846153846154
2020-21,Asturias,11.523428571428571
2020-21,Badajoz,11.30275147928994
2020-21,Barcelona,9.628594202898551
2020-21,Burgos,10.575636363636363
2020-21,Cantabria,11.219043859649123
2020-21,Castellón,9.927157894736842
2020-21,Ceuta,9.94925
2020-21,Ciudad Real,11.109421348314607
2020-21,Cuenca,10.847159999999999
2020-21,Cáceres,11.276934782608697
2020-21,Cádiz,11.051983333333334
2020-21,Córdoba,11.247133333333332
2020-21,Gerona,10.796999999999999
2020-21,Granada,11.24604761904762
